id,name,countryId
adelaide,Adelaide,australia
aida,Aida,japan
ain-diab,Ain-Diab,morocco
aintree,Aintree,united-kingdom
anderstorp,Anderstorp Raceway,sweden
austin,Americas,united-states-of-america
avus,AVUS,germany
bahrain,Bahrain,bahrain
baku,Baku,azerbaijan
brands-hatch,Brands Hatch,united-kingdom
bremgarten,Bremgarten,switzerland
buddh,Buddh,india
buenos-aires,Juan y Oscar Gálvez,argentina
bugatti,Bugatti,france
caesars-palace,Caesars Palace,united-states-of-america
catalunya,Catalunya,spain
clermont-ferrand,Charade,france
dallas,Fair Park,united-states-of-america
detroit,Detroit,united-states-of-america
dijon,Dijon-Prenois,france
donington,Donington Park,united-kingdom
east-london,Prince George,south-africa
estoril,Estoril,portugal
fuji,Fuji,japan
hockenheimring,Hockenheimring,germany
hungaroring,Hungaroring,hungary
imola,Enzo e Dino Ferrari,italy
indianapolis,Indianapolis,united-states-of-america
interlagos,José Carlos Pace,brazil
istanbul,Istanbul Park,turkey
jacarepagua,Nelson Piquet,brazil
jarama,Jarama,spain
jeddah,Jeddah,saudi-arabia
jerez,Jerez,spain
kyalami,Kyalami,south-africa
las-vegas,Las Vegas,united-states-of-america
long-beach,Long Beach,united-states-of-america
lusail,Lusail,qatar
madring,Madring,spain
magny-cours,Magny-Cours,france
marina-bay,Marina Bay,singapore
melbourne,Melbourne,australia
mexico-city,Hermanos Rodríguez,mexico
miami,Miami,united-states-of-america
monaco,Monaco,monaco
monsanto,Monsanto,portugal
mont-tremblant,Mont-Tremblant,canada
montjuic,Montjuïc,spain
montreal,Gilles Villeneuve,canada
monza,Monza,italy
mosport,Mosport,canada
mugello,Mugello,italy
nivelles,Nivelles-Baulers,belgium
nurburgring,Nürburgring,germany
paul-ricard,Paul Ricard,france
pedralbes,Pedralbes,spain
pescara,Pescara,italy
phoenix,Phoenix,united-states-of-america
portimao,Portimão,portugal
porto,Boavista,portugal
reims,Reims-Gueux,france
riverside,Riverside,united-states-of-america
rouen,Rouen-Les-Essarts,france
sebring,Sebring,united-states-of-america
sepang,Sepang,malaysia
shanghai,Shanghai,china
silverstone,Silverstone,united-kingdom
sochi,Sochi,russia
spa-francorchamps,Spa-Francorchamps,belgium
spielberg,Red Bull Ring,austria
suzuka,Suzuka,japan
valencia,Valencia,spain
watkins-glen,Watkins Glen,united-states-of-america
yas-marina,Yas Marina,united-arab-emirates
yeongam,Korea,south-korea
zandvoort,Zandvoort,netherlands
zeltweg,Zeltweg,austria
zolder,Zolder,belgium
